Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,Method Code,CBSA Code,CBSA Name,County FIPS Code,County,Site Latitude,Site Longitude,Date_Cleaned
01/31/2024,AQS,60010009,1,0.034,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-01-31
/2024,AQS,60010009,1,0.034,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-01
02/02/2024,AQS,60010009,1,0.038,ppm,35.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-02
February 03/2024,AQS,60010009,1,0.037,ppm,34.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-03
02/04/2024,AQS,60010009,1,0.036,ppm,33.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-04
02/05/2024,AQS,60010009,1,0.034,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-05
02/06/2024,AQS,60010009,1,0.028,ppm,26.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-06
02/07/2024,AQS,60010009,1,0.036,ppm,33.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-07
/2024,AQS,60010009,1,0.029,ppm,,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-08
02/09/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-09
02/10/2024,AQS,60010009,1,0.029,ppm,27.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-10
02/11/2024,AQS,60010009,1,0.025,ppm,23.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-11
02/12/2024,AQS,60010009,1,,ppm,19.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-12
/2024,AQS,60010009,1,0.034,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-13
02/14/2024,AQS,60010009,1,0.029,ppm,27.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-14
/2024,AQS,60010009,1,0.036,ppm,33.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-15
/2024,AQS,60010009,1,0.018,ppm,17.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-16
February 17/2024,AQS,60010009,1,0.025,ppm,23.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-17
02/18/2024,AQS,60010009,1,0.037,ppm,34.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-18
02/19/2024,AQS,60010009,1,0.039,ppm,36.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-19
02/20/2024,AQS,60010009,1,0.032,ppm,30.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-20
02/21/2024,AQS,60010009,1,0.035,ppm,32.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-21
02/22/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,16,94.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-22
February 23/2024,AQS,60010009,1,0.029,ppm,27.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-23
February 24/2024,AQS,60010009,1,0.032,ppm,30.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-24
02/25/2024,AQS,60010009,1,0.039,ppm,36.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-25
02/26/2024,AQS,60010009,1,0.035,ppm,32.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-26
02/27/2024,AQS,60010009,1,0.033,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-27
02/28/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,14,82.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-28
02/29/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,19,79.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-02-29
March 01/2024,AirNow,60010009,1,0.039,ppm,36.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-01
03/02/2024,AirNow,60010009,1,0.04,ppm,37.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-02
March 03/2024,AirNow,60010009,1,0.039,ppm,36.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-03
March 04/2024,AirNow,60010009,1,0.039,ppm,36.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-04
03/05/2024,AirNow,60010009,1,0.028,ppm,26.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-05
/2024,AirNow,60010009,1,0.029,ppm,,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-06
03/07/2024,AirNow,60010009,1,0.027,ppm,25.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-07
March 08/2024,AirNow,60010009,1,0.032,ppm,30.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-08
March 09/2024,AirNow,60010009,1,0.037,ppm,34.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-09
03/10/2024,AirNow,60010009,1,0.042,ppm,39.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-10
03/11/2024,AirNow,60010009,1,0.039,ppm,36.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-11
/2024,AirNow,60010009,1,0.034,ppm,,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-12
03/13/2024,AirNow,60010009,1,,ppm,,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-13
03/14/2024,AirNow,60010009,1,0.039,ppm,36.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-14
/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,1000,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-15
March 16/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-16
/2024,AirNow,60010009,1,0.036,ppm,33.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-17
03/18/2024,AirNow,60010009,1,0.033,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-18
March 19/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-19
/2024,AirNow,60010009,1,0.037,ppm,34.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-20
03/21/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-21
03/22/2024,AirNow,60010009,1,0.037,ppm,34.0,Oakland,21,88.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-22
03/23/2024,AirNow,60010009,1,0.041,ppm,,Oakland,21,88.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-23
March 24/2024,AirNow,60010009,1,0.04,ppm,37.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-24
March 25/2024,AirNow,60010009,1,0.042,ppm,39.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-25
03/26/2024,AirNow,60010009,1,,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-26
03/27/2024,AirNow,60010009,1,0.037,ppm,34.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-27
03/28/2024,AirNow,60010009,1,0.043,ppm,40.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-28
03/30/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-30
03/31/2024,AirNow,60010009,1,0.036,ppm,33.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-03-31
/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-01
/2024,AirNow,60010009,1,,ppm,,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-02
04/03/2024,AirNow,60010009,1,0.045,ppm,42.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-03
April 04/2024,AirNow,60010009,1,0.044,ppm,41.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-04
April 05/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-05
/2024,AirNow,60010009,1,0.041,ppm,38.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-06
April 07/2024,AirNow,60010009,1,0.043,ppm,40.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-07
/2024,AirNow,60010009,1,0.035,ppm,32.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-08
/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-09
04/10/2024,AirNow,60010009,1,0.035,ppm,32.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-10
April 11/2024,AirNow,60010009,1,0.033,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-11
04/12/2024,AirNow,60010009,1,0.047,ppm,44.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-12
04/13/2024,AirNow,60010009,1,0.057,ppm,58.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-13
April 14/2024,AirNow,60010009,1,0.047,ppm,44.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-14
April 15/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-15
04/16/2024,AirNow,60010009,1,0.034,ppm,,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-16
04/17/2024,AirNow,60010009,1,0.036,ppm,33.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-17
04/18/2024,AirNow,60010009,1,0.035,ppm,32.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-18
/2024,AirNow,60010009,1,0.04,ppm,37.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-19
April 20/2024,AirNow,60010009,1,0.044,ppm,41.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-20
04/21/2024,AirNow,60010009,1,0.036,ppm,33.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-21
04/22/2024,AirNow,60010009,1,0.041,ppm,38.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-22
04/23/2024,AirNow,60010009,1,0.043,ppm,40.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-23
04/24/2024,AirNow,60010009,1,0.041,ppm,38.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-24
04/25/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-25
April 26/2024,AirNow,60010009,1,0.032,ppm,30.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-26
/2024,AirNow,60010009,1,0.035,ppm,32.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-27
04/28/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-28
04/29/2024,AirNow,60010009,1,0.041,ppm,38.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-29
/2024,AirNow,60010009,1,0.037,ppm,34.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-04-30
/2024,AirNow,60010009,1,0.033,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-05-01
06/04/2024,AirNow,60010009,1,0.029,ppm,27.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-06-04
06/05/2024,AirNow,60010009,1,0.026,ppm,24.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-06-05
06/06/2024,AirNow,60010009,1,0.028,ppm,26.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935,2024-06-06
