Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,Method Code,CBSA Code,CBSA Name,County FIPS Code,County,Site Latitude,Site Longitude
01/24/2024,AirNow,60010007,1,0.028,ppm,26.0,Livermore,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
01/30/2024,AQS,60010007,1,0.032,ppm,30.0,Livermore,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.687526,-121.784217
01/01/2024,AQS,60010009,1,0.024,ppm,,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
January 02/2024,AQS,60010009,1,0.033,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/03/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/04/2024,AQS,60010009,1,0.022,ppm,20.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
January 05/2024,AQS,60010009,1,0.021,ppm,19.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/06/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/07/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
January 08/2024,AQS,60010009,1,0.02,ppm,19.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AQS,60010009,1,0.028,ppm,26.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/10/2024,AQS,60010009,1,0.035,ppm,32.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AQS,60010009,1,0.026,ppm,24.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/12/2024,AQS,60010009,1,0.026,ppm,24.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/13/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/14/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/15/2024,AQS,60010009,1,,ppm,21.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/16/2024,AQS,60010009,1,0.026,ppm,24.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/17/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
January 18/2024,AQS,60010009,1,0.015,ppm,14.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/19/2024,AQS,60010009,1,0.02,ppm,19.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
January 20/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
January 21/2024,AQS,60010009,1,0.033,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/23/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/24/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/25/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
January 26/2024,AQS,60010009,1,0.018,ppm,17.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/27/2024,AQS,60010009,1,0.021,ppm,19.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AQS,60010009,1,0.022,ppm,20.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/29/2024,AQS,60010009,1,0.024,ppm,22.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/30/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
01/31/2024,AQS,60010009,1,0.034,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AQS,60010009,1,0.034,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/02/2024,AQS,60010009,1,0.038,ppm,35.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
February 03/2024,AQS,60010009,1,0.037,ppm,34.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/04/2024,AQS,60010009,1,0.036,ppm,33.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/05/2024,AQS,60010009,1,0.034,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/06/2024,AQS,60010009,1,0.028,ppm,26.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/07/2024,AQS,60010009,1,0.036,ppm,33.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AQS,60010009,1,0.029,ppm,,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/09/2024,AQS,60010009,1,0.027,ppm,25.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/10/2024,AQS,60010009,1,0.029,ppm,27.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/11/2024,AQS,60010009,1,0.025,ppm,23.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/12/2024,AQS,60010009,1,,ppm,19.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AQS,60010009,1,0.034,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/14/2024,AQS,60010009,1,0.029,ppm,27.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AQS,60010009,1,0.036,ppm,33.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AQS,60010009,1,0.018,ppm,17.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
February 17/2024,AQS,60010009,1,0.025,ppm,23.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/18/2024,AQS,60010009,1,0.037,ppm,34.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/19/2024,AQS,60010009,1,0.039,ppm,36.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/20/2024,AQS,60010009,1,0.032,ppm,30.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/21/2024,AQS,60010009,1,0.035,ppm,32.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/22/2024,AQS,60010009,1,0.031,ppm,29.0,Oakland,16,94.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
February 23/2024,AQS,60010009,1,0.029,ppm,27.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
February 24/2024,AQS,60010009,1,0.032,ppm,30.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/25/2024,AQS,60010009,1,0.039,ppm,36.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/26/2024,AQS,60010009,1,0.035,ppm,32.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/27/2024,AQS,60010009,1,0.033,ppm,31.0,Oakland,17,100.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/28/2024,AQS,60010009,1,0.03,ppm,28.0,Oakland,14,82.0,47.0,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
02/29/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,19,79.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
March 01/2024,AirNow,60010009,1,0.039,ppm,36.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/02/2024,AirNow,60010009,1,0.04,ppm,37.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
March 03/2024,AirNow,60010009,1,0.039,ppm,36.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
March 04/2024,AirNow,60010009,1,0.039,ppm,36.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/05/2024,AirNow,60010009,1,0.028,ppm,26.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.029,ppm,,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/07/2024,AirNow,60010009,1,0.027,ppm,25.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
March 08/2024,AirNow,60010009,1,0.032,ppm,30.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
March 09/2024,AirNow,60010009,1,0.037,ppm,34.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/10/2024,AirNow,60010009,1,0.042,ppm,39.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/11/2024,AirNow,60010009,1,0.039,ppm,36.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.034,ppm,,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/13/2024,AirNow,60010009,1,,ppm,,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/14/2024,AirNow,60010009,1,0.039,ppm,36.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,1000,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
March 16/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.036,ppm,33.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/18/2024,AirNow,60010009,1,0.033,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
March 19/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.037,ppm,34.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/21/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/22/2024,AirNow,60010009,1,0.037,ppm,34.0,Oakland,21,88.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/23/2024,AirNow,60010009,1,0.041,ppm,,Oakland,21,88.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
March 24/2024,AirNow,60010009,1,0.04,ppm,37.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
March 25/2024,AirNow,60010009,1,0.042,ppm,39.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/26/2024,AirNow,60010009,1,,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/27/2024,AirNow,60010009,1,0.037,ppm,34.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/28/2024,AirNow,60010009,1,0.043,ppm,40.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/30/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
03/31/2024,AirNow,60010009,1,0.036,ppm,33.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,,ppm,,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/03/2024,AirNow,60010009,1,0.045,ppm,42.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
April 04/2024,AirNow,60010009,1,0.044,ppm,41.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
April 05/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.041,ppm,38.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
April 07/2024,AirNow,60010009,1,0.043,ppm,40.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.035,ppm,32.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/10/2024,AirNow,60010009,1,0.035,ppm,32.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
April 11/2024,AirNow,60010009,1,0.033,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/12/2024,AirNow,60010009,1,0.047,ppm,44.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/13/2024,AirNow,60010009,1,0.057,ppm,58.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
April 14/2024,AirNow,60010009,1,0.047,ppm,44.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
April 15/2024,AirNow,60010009,1,0.038,ppm,35.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/16/2024,AirNow,60010009,1,0.034,ppm,,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/17/2024,AirNow,60010009,1,0.036,ppm,33.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/18/2024,AirNow,60010009,1,0.035,ppm,32.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.04,ppm,37.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
April 20/2024,AirNow,60010009,1,0.044,ppm,41.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/21/2024,AirNow,60010009,1,0.036,ppm,33.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/22/2024,AirNow,60010009,1,0.041,ppm,38.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/23/2024,AirNow,60010009,1,0.043,ppm,40.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/24/2024,AirNow,60010009,1,0.041,ppm,38.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/25/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
April 26/2024,AirNow,60010009,1,0.032,ppm,30.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.035,ppm,32.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/28/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
04/29/2024,AirNow,60010009,1,0.041,ppm,38.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.037,ppm,34.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.033,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
06/04/2024,AirNow,60010009,1,0.029,ppm,27.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
06/05/2024,AirNow,60010009,1,0.026,ppm,24.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
06/06/2024,AirNow,60010009,1,0.028,ppm,26.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
06/07/2024,AirNow,60010009,1,0.031,ppm,29.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.031,ppm,29.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
06/09/2024,AirNow,60010009,1,0.032,ppm,30.0,Oakland,1000,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.025,ppm,23.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.036,ppm,33.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,22,92.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
06/14/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
06/15/2024,AirNow,60010009,1,0.034,ppm,31.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
06/16/2024,AirNow,60010009,1,0.031,ppm,29.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
06/17/2024,AirNow,60010009,1,0.035,ppm,32.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
/2024,AirNow,60010009,1,0.027,ppm,25.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
06/19/2024,AirNow,60010009,1,0.029,ppm,27.0,Oakland,24,100.0,,41860.0,"San Francisco-Oakland-Hayward, CA",1,Alameda,37.743065,-122.169935
